FPOGD,FPOGV,Question,Regions
0.6133,1,22,2
8.306100000000002,1,22,1
37.04889000000001,1,22,2
9.739750000000003,1,22,1
5.4502,1,22,-1
8.9585,1,23,0
11.956069999999999,1,23,1
18.959419999999998,1,23,3
3.65869,1,24,-1
0.8730499999999999,1,24,3
0.6733399999999999,1,24,-1
4.182149999999999,1,24,2
3.5468500000000005,1,24,3
1.01221,1,24,-1
14.39311,1,24,0
0.77246,1,25,-1
3.9745900000000005,1,25,1
4.3168999999999995,1,25,2
5.60986,1,25,-1
0.26416,1,25,-1
0.2793,1,25,1
0.60303,1,25,-1
30.213380000000008,1,25,2
0.20898,1,25,-1
6.88379,1,25,0
1.2763499999999999,1,25,0
5.215310000000001,1,25,-1
0.39356,1,25,4
1.2666,1,26,1
4.8462,1,26,0
0.55175,1,26,1
11.01512,1,26,-1
4.66795,1,26,0
1.63963,1,26,-1
7.7002,1,26,1
2.69237,1,26,-1
2.06398,1,26,-1
0.37842,1,26,-1
37.71243,1,26,1
0.25634999999999997,1,27,1
1.66114,1,27,1
3.2338899999999993,1,27,2
0.54151,1,27,-1
1.36621,1,27,2
6.753910000000002,1,27,0
17.31594,1,28,0
1.6426,1,28,-1
3.3749800000000008,1,28,0
0.64111,1,28,-1
0.5254,1,28,3
1.19823,1,29,-1
1.34131,1,29,-1
2.30077,1,29,0
0.24658,1,29,-1
3.8803600000000005,1,29,-1
0.2583,1,29,-1
1.10938,1,29,1
2.0058700000000003,1,29,-1
19.821290000000005,1,29,0
0.30419,1,29,-1
2.9130799999999994,1,29,0
1.1367099999999999,1,29,-1
33.35012,1,29,0
0.74217,1,29,-1
4.681139999999999,1,29,1
0.14942,1,29,0
1.5957,1,29,-1
3.3413200000000005,1,29,0
1.68752,1,29,-1
0.11132,1,29,1
0.29296,1,29,-1
0.12891,1,29,1
0.30908,1,29,-1
0.59912,1,29,1
3.4209,1,29,-1
5.39112,1,29,2
38.49803999999999,1,29,1
6.6171799999999985,1,29,1
2.6533399999999996,1,29,3
1.25196,1,29,2
12.556640000000002,1,29,0
4.22949,1,29,-1
1.5127,1,29,-1
2.71338,1,29,0
0.2915,1,29,-1
1.10889,1,29,1
24.964829999999996,1,29,1
3.54443,1,29,-1
0.41503999999999996,1,29,-1
10.275900000000002,1,29,0
52.40231999999998,1,29,3
0.38525,1,29,0
12.798359999999999,1,30,-1
6.960940000000001,1,30,0
8.174319999999998,1,30,0
4.610329999999999,1,30,2
0.41211,1,30,-1
3.9218599999999997,1,30,3
17.32908,1,30,2
6.0102400000000005,1,30,0
0.28125,1,30,-1
30.951120000000003,1,30,0
0.7207,1,30,-1
1.3989299999999998,1,31,0
6.34179,1,31,-1
1.6836000000000002,1,31,0
3.910650000000001,1,31,-1
2.91161,1,31,0
3.1332900000000006,1,31,0
9.464359999999997,1,31,-1
4.583989999999999,1,31,-1
14.096649999999991,1,31,0
37.42195000000002,1,31,-1
2.5922799999999997,1,31,-1
1.72607,1,31,-1
7.54442,1,31,0
6.2001800000000005,1,31,-1
4.450699999999999,1,31,0
30.898410000000002,1,31,0
4.239739999999999,1,31,-1
8.06055,1,31,0
180.84859000000006,1,31,-1
6.703619999999999,1,31,-1
0.49268,1,31,0
1.04493,1,31,-1
7.814439999999999,1,31,0
7.415529999999999,1,31,-1
5.69434,1,31,0
14.644019999999996,1,31,-1
1.16456,1,31,0
0.89404,1,31,-1
11.774410000000001,1,31,0
10.143070000000002,1,31,-1
2.38282,1,31,0
2.4375,1,31,-1
5.3574,1,31,0
1.2495100000000001,1,31,2
1.7666,1,31,-1
0.11475,1,31,0
3.0082899999999997,1,31,-1
1.4912,1,31,0
4.84717,1,31,-1
0.29541,1,31,-1
2.7289999999999996,1,31,1
2.0991299999999997,1,31,-1
4.2915,1,31,-1
106.88278,1,31,-1
107.55668999999997,1,31,-1
8.89011,1,31,-1
22.195809999999994,1,31,0
31.348150000000004,1,31,0
0.30615,1,32,-1
20.206090000000007,1,32,0
8.31253,1,32,2
0.24609999999999999,1,32,4
4.272939999999999,1,32,3
1.25928,1,32,2
0.66308,1,32,1
5.780280000000001,1,32,2
0.28076,1,33,0
1.65088,1,33,-1
0.37891,1,33,0
11.474180000000006,1,33,-1
33.027819999999984,1,33,0
1.1244899999999998,1,33,1
18.842280000000006,1,33,0
0.43554,1,33,-1
0.11475,1,33,2
32.45846999999999,1,33,1
1.8593799999999998,1,33,-1
1.4350600000000002,1,33,1
2.54933,1,33,1
0.34375,1,33,-1
13.779749999999996,1,33,2
0.77098,1,33,3
0.5620099999999999,1,33,-1
2.9077100000000002,1,33,0
21.38232000000001,1,33,0
11.999500000000001,1,33,1
9.52543,1,33,0
4.46388,1,33,1
4.05467,1,33,2
1.16211,1,33,3
